,name_last,name_first,key_mlbam,key_retro,key_bbref,key_fangraphs,mlb_played_first,mlb_played_last,name
1281,walker,christian,572233,walkc002,walkech02,13419,2014.0,2022.0,christian walker-572233
1282,walker,steele,667727,walks001,walkest01,22093,2022.0,2022.0,steele walker-667727
1283,walker,taijuan,592836,walkt004,walketa01,11836,2013.0,2022.0,taijuan walker-592836
1284,wallach,chad,595453,wallc001,wallach01,17161,2017.0,2022.0,chad wallach-595453
1285,walls,taylor,670764,wallt003,wallsta01,22458,2021.0,2022.0,taylor walls-670764
1286,walsh,jake,673904,walsj002,walshja02,20227,2022.0,2022.0,jake walsh-673904
1287,walsh,jared,665120,walsj001,walshja01,18607,2019.0,2022.0,jared walsh-665120
1288,walton,donovan,622268,waltd002,waltodo01,19314,2019.0,2022.0,donovan walton-622268
1289,wantz,andrew,681806,wanta001,wantzan01,24933,2021.0,2022.0,andrew wantz-681806
1290,ward,taylor,621493,wardt002,wardta01,17548,2018.0,2022.0,taylor ward-621493
1291,warren,art,605521,warra002,warrear01,18251,2019.0,2022.0,art warren-605521
1292,warren,austin,681810,warra003,warreau01,24937,2021.0,2022.0,austin warren-681810
1293,watkins,spenser,657093,watks003,watkisp01,17489,2021.0,2022.0,spenser watkins-657093
1294,weathers,ryan,677960,weatr001,weathry01,23796,2021.0,2022.0,ryan weathers-677960
1295,weaver,luke,596133,weavl001,weavelu01,16918,2016.0,2022.0,luke weaver-596133
1296,webb,logan,657277,webbl001,webblo01,17995,2019.0,2022.0,logan webb-657277
1297,weber,ryan,543901,weber001,weberry01,10160,2015.0,2022.0,ryan weber-543901
1298,weems,jordan,607179,weemj001,weemsjo01,13190,2020.0,2022.0,jordan weems-607179
1299,wells,alex,649144,wella001,wellsal01,19845,2021.0,2022.0,alex wells-649144
1300,wells,tyler,669330,wellt003,wellsty01,20000,2021.0,2022.0,tyler wells-669330
1301,wendelken,j. b.,605525,wendj001,wendejb01,14506,2016.0,2022.0,j. b. wendelken-605525
1302,wendle,joey,621563,wendj002,wendljo01,13853,2016.0,2022.0,joey wendle-621563
1303,wentz,joey,666214,wentj001,wentzjo01,19962,2022.0,2022.0,joey wentz-666214
1304,wheeler,zack,554430,wheez001,wheelza01,10310,2013.0,2022.0,zack wheeler-554430
1305,white,eli,642201,white006,whiteel04,19346,2020.0,2022.0,eli white-642201
1306,white,mitch,669952,whitm004,whitemi03,19225,2020.0,2022.0,mitch white-669952
1307,whitefield,aaron,664334,whita002,whiteaa01,19938,2020.0,2022.0,aaron whitefield-664334
1308,whitley,kodi,676831,whitk001,whitlko01,19731,2020.0,2022.0,kodi whitley-676831
1309,whitlock,garrett,676477,whitg002,whitlga01,20191,2021.0,2022.0,garrett whitlock-676477
1310,wick,rowan,592858,wickr001,wickro01,14646,2018.0,2022.0,rowan wick-592858
1311,widener,taylor,642203,widet001,widenta01,19266,2020.0,2022.0,taylor widener-642203
1312,williams,devin,642207,willd004,willide03,15816,2019.0,2022.0,devin williams-642207
1313,williams,luke,663897,willl001,willilu01,19931,2021.0,2022.0,luke williams-663897
